hotelNo,node,checkinDate,checkoutDate,hotelName,address,minCharge,reviewAverage,hasReview
4898,Node A - Tojinbo,2026-10-02,2026-10-03,東尋坊温泉　三国オーシャンリゾート＆ホテル（旧：三国観光ホテル）,福井県坂井市三国町緑ヶ丘4-4-8 ,8000,4.19,True
14625,Node A - Tojinbo,2026-10-02,2026-10-03,荒磯料理　民宿　冨士,福井県坂井市三国町梶38-37-5,5830,4.36,True
50199,Node A - Tojinbo,2026-10-02,2026-10-03,休暇村　越前三国,福井県坂井市三国町崎15-45,10500,4.39,True
181770,Node A - Tojinbo,2026-10-02,2026-10-03,夕陽の見える海鮮宿　大平庵,福井県坂井市三国町宿3-12-22,5500,3.98,True
142842,Node A - Tojinbo,2026-10-02,2026-10-03,三国温泉　展望自慢の料理旅館　はれや旅館,福井県坂井市三国町梶26-45-1,6600,4.25,True
151471,Node A - Tojinbo,2026-10-02,2026-10-03,詰所三國,福井県坂井市三国町南本町3-3-17,9215,5.0,True
173266,Node A - Tojinbo,2026-10-02,2026-10-03,ビビ民泊／民泊,福井県坂井市三国町緑ヶ丘4‐15‐32,4130,5.0,True
192215,Node A - Tojinbo,2026-10-02,2026-10-03,Ｏｒｕｇａ　Ｒｅｓｏｒｔ　オルガリゾート,福井県坂井市三国町浜地30字馬畔5-1,4800,4.41,True
199433,Node A - Tojinbo,2026-10-02,2026-10-03,ＰＡＷ　＆　ＳＴＡＹ　Ｍｉｋｕｎｉ,福井県坂井市三国町北本町1-4-38,10620,,False
135521,Node A - Tojinbo,2026-10-02,2026-10-03,料理旅館　ふくや,福井県坂井市三国町緑ヶ丘4-1-46,5500,4.5,True
194432,Node A - Tojinbo,2026-10-02,2026-10-03,Ａｕｂｅｒｇｅ　Ｓ＇Ａｍｕｓｅｒ　＾,福井県坂井市三国町北本町4-5-31　Ａｕｂｅｒｇｅ　Ｓ＇Ａｍｕｓｅｒ,16008,,False
196882,Node A - Tojinbo,2026-10-02,2026-10-03,Ｌａｐｉｔａ　Ｒｅｓｏｒｔ,福井県坂井市三国町梶31-32,67625,,False
188091,Node A - Tojinbo,2026-10-02,2026-10-03,モリス・リゾート東尋坊　｜　Ｍｏｒｒｉｓ　Ｒｅｓｏｒｔ　Ｔｏｈｇｉｎｂｏｗ,福井県坂井市三国町安島58-31-8,30400,4.25,True
14786,Node A - Tojinbo,2026-10-03,2026-10-04,リゾートホテル＆レストラン　なぎさ,福井県坂井市三国町梶,4500,3.74,True
50199,Node A - Tojinbo,2026-10-03,2026-10-04,休暇村　越前三国,福井県坂井市三国町崎15-45,10500,4.39,True
188978,Node A - Tojinbo,2026-10-03,2026-10-04,オーベルジュほまち　三國湊（ミシュランセレクテッド２０２５）,福井県坂井市三国町南本町三丁目4-39,13310,4.7,True
142842,Node A - Tojinbo,2026-10-03,2026-10-04,三国温泉　展望自慢の料理旅館　はれや旅館,福井県坂井市三国町梶26-45-1,6600,4.25,True
192215,Node A - Tojinbo,2026-10-03,2026-10-04,Ｏｒｕｇａ　Ｒｅｓｏｒｔ　オルガリゾート,福井県坂井市三国町浜地30字馬畔5-1,4800,4.41,True
196882,Node A - Tojinbo,2026-10-03,2026-10-04,Ｌａｐｉｔａ　Ｒｅｓｏｒｔ,福井県坂井市三国町梶31-32,67625,,False
188091,Node A - Tojinbo,2026-10-03,2026-10-04,モリス・リゾート東尋坊　｜　Ｍｏｒｒｉｓ　Ｒｅｓｏｒｔ　Ｔｏｈｇｉｎｂｏｗ,福井県坂井市三国町安島58-31-8,30400,4.25,True
74717,Node A - Tojinbo,2026-10-04,2026-10-05,ビジネスホテル　つるや,福井県坂井市三国町緑ヶ丘2-5-27,7150,3.9,True
14786,Node A - Tojinbo,2026-10-04,2026-10-05,リゾートホテル＆レストラン　なぎさ,福井県坂井市三国町梶,4500,3.74,True
14625,Node A - Tojinbo,2026-10-04,2026-10-05,荒磯料理　民宿　冨士,福井県坂井市三国町梶38-37-5,5830,4.36,True
