date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-10-20,69,148,115,1918200,69
2024-10-21,68,113,107,1592294,63
2024-10-22,75,159,117,1924649,64
2024-10-23,50,97,82,697474,49
2024-10-24,57,100,89,1363234,54
2024-10-25,97,151,119,2093644,91
2024-10-26,99,233,138,3099890,100
2024-10-27,75,173,123,2041850,74
2024-10-28,67,164,119,2206730,68
2024-10-29,62,136,119,1642560,62
2024-10-30,62,146,120,1458220,62
2024-10-31,46,161,102,2331390,44
2024-11-01,47,113,59,1850090,48
2024-11-02,76,210,97,3435595,76
2024-11-03,46,171,76,2973420,45
2024-11-04,36,124,75,2078910,36
2024-11-05,46,96,68,1253700,41
2024-11-06,44,122,80,1328620,43
2024-11-07,51,177,94,2398100,49
2024-11-08,48,134,72,2247890,47
2024-11-09,70,227,98,3526240,71
2024-11-10,54,163,78,3081105,50
2024-11-11,59,183,98,2751834,58
2024-11-12,42,114,65,1329754,40
2024-11-13,45,125,85,1389949,43
2024-11-14,26,99,45,1132050,25
2024-11-15,26,110,39,1656970,27
2024-11-16,62,149,72,3038835,44
2024-11-17,42,148,60,2314724,41
2024-11-18,25,101,56,1799415,22
2024-11-19,23,116,66,1420085,23
2024-11-20,22,88,49,1406950,22
2024-11-21,41,126,85,2215473,39
2024-11-22,72,192,108,2411243,73
2024-11-23,44,168,58,2712702,45
2024-11-24,39,163,71,2671190,35
2024-11-25,26,132,54,1528370,26
2024-11-26,36,142,71,2050080,36
2024-11-27,10,60,46,816780,9
2024-11-28,26,87,31,933010,25
2024-11-29,30,128,54,2888910,31
2024-11-30,46,167,62,3083136,46
2024-12-01,34,95,32,1434040,22
2024-12-02,20,78,58,1441760,21
2024-12-03,13,69,24,755384,14
2024-12-04,26,108,53,1421520,20
2024-12-05,39,73,37,1044530,26
2024-12-06,43,124,73,1441890,43
2024-12-07,56,172,98,2545290,56
2024-12-08,33,53,30,955240,27
2024-12-09,28,131,70,1469690,26
2024-12-10,18,60,48,938570,18
2024-12-11,26,70,45,348010,27
2024-12-12,18,29,22,375990,17
2024-12-13,28,109,48,1257010,26
2024-12-14,27,129,57,2613920,27
2024-12-15,34,95,43,1771710,24
2024-12-16,21,67,36,1001060,6
2024-12-17,2,5,5,71480,2
2024-12-18,9,30,14,210440,9
2024-12-19,8,12,28,144550,7
2024-12-20,16,69,27,983600,16
2024-12-21,17,88,21,721660,18
2024-12-22,42,40,38,528360,20
2024-12-23,16,22,21,249484,10
2024-12-24,11,45,27,979600,10
2024-12-25,10,64,28,961010,9
2024-12-26,4,5,4,37030,4
2024-12-27,14,42,16,347200,13
2024-12-28,16,35,19,792210,14
2024-12-29,10,26,11,995960,10
2024-12-30,7,18,8,847810,7
2024-12-31,13,34,13,1106700,13
2025-01-01,11,28,12,1216960,11
2025-01-02,8,21,8,779850,8
2025-01-03,2,4,2,130950,2
2025-01-04,4,4,3,17600,3
2025-01-05,2,7,3,118900,2
2025-01-06,8,11,8,159360,8
2025-01-07,1,48,2,266860,2
2025-01-08,2,2,2,16720,2
2025-01-09,2,2,2,16720,2
2025-01-10,2,2,2,8360,2
2025-01-11,9,21,11,332830,9
2025-01-12,8,19,8,591260,8
2025-01-13,2,2,2,73260,2
2025-01-14,2,3,2,26180,2
2025-01-15,1,17,2,88000,2
2025-01-16,0,0,0,0,0
2025-01-17,2,4,2,208800,2
