date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-03-18,51,107,79,1636980,49
2026-03-19,61,143,97,2820480,60
2026-03-20,108,251,142,4447257,106
2026-03-21,88,203,106,4034652,84
2026-03-22,83,121,74,1754232,54
2026-03-23,67,129,90,1542051,59
2026-03-24,69,153,113,1963916,64
2026-03-25,63,127,100,1477472,58
2026-03-26,89,195,124,3550485,87
2026-03-27,75,216,111,3333410,73
2026-03-28,83,201,98,3437947,83
2026-03-29,62,187,94,3152600,62
2026-03-30,63,113,64,1862144,55
2026-03-31,24,66,45,805142,24
2026-04-01,154,110,78,1520100,53
2026-04-02,36,69,46,1091590,36
2026-04-03,43,121,79,1700080,38
2026-04-04,42,117,58,1994000,41
2026-04-05,49,86,55,1412350,38
2026-04-06,41,106,68,1596870,39
2026-04-07,65,151,96,2093390,65
2026-04-08,47,127,100,1712367,43
2026-04-09,21,66,57,951446,21
2026-04-10,37,105,61,1328336,37
2026-04-11,41,99,56,1898174,41
2026-04-12,43,126,79,1896110,32
2026-04-13,42,115,97,1418320,34
2026-04-14,31,79,68,1009620,29
2026-04-15,33,85,72,1570290,31
2026-04-16,42,121,91,1637793,39
2026-04-17,36,127,91,1888693,36
2026-04-18,91,166,117,2133603,89
2026-04-19,70,131,89,1742342,58
2026-04-20,56,163,114,2179440,56
2026-04-21,63,140,95,1351507,60
2026-04-22,44,66,70,696180,44
2026-04-23,49,164,112,2355030,49
2026-04-24,45,115,88,1639890,45
2026-04-25,61,97,80,1574134,58
2026-04-26,44,126,95,1626730,43
2026-04-27,36,56,59,634460,36
2026-04-28,16,78,53,1260754,15
2026-04-29,24,50,48,713505,23
2026-04-30,30,89,68,1449245,30
2026-05-01,97,70,42,1264970,37
2026-05-02,44,126,68,2488218,39
2026-05-03,60,153,88,3489168,58
2026-05-04,51,126,90,2939518,48
2026-05-05,32,80,64,1853158,32
2026-05-06,17,24,19,331650,16
2026-05-07,12,21,17,213040,12
2026-05-08,22,67,41,1048970,21
2026-05-09,19,115,50,1862350,19
2026-05-10,30,34,21,508594,18
2026-05-11,18,58,34,738534,11
2026-05-12,34,136,74,1600414,33
2026-05-13,15,38,23,506044,12
2026-05-14,8,37,20,332900,8
2026-05-15,33,52,42,709610,33
2026-05-16,70,233,133,1342480,70
2026-05-17,37,141,74,2159760,24
2026-05-18,13,103,54,1102840,13
2026-05-19,16,56,35,616700,16
2026-05-20,7,29,16,170725,7
2026-05-21,16,45,24,500935,15
2026-05-22,7,42,25,711850,7
2026-05-23,45,115,60,2371527,41
2026-05-24,34,39,29,527770,22
2026-05-25,11,81,50,1117030,11
2026-05-26,18,59,40,723440,18
2026-05-27,12,35,24,157930,12
2026-05-28,14,56,37,491560,14
2026-05-29,25,113,58,2143610,21
2026-05-30,16,73,45,981840,16
2026-05-31,13,17,13,195770,13
2026-06-01,18,66,35,682520,15
2026-06-02,20,57,40,556020,20
2026-06-03,7,23,10,196120,7
2026-06-04,19,87,48,1129086,14
2026-06-05,7,42,33,739666,6
2026-06-06,6,27,10,501066,6
2026-06-07,6,7,7,64020,6
2026-06-08,8,81,58,872520,8
2026-06-09,1,2,1,133200,1
2026-06-10,4,13,12,218250,4
2026-06-11,4,57,27,561550,4
2026-06-12,6,11,7,160380,6
2026-06-13,47,66,48,465000,47
2026-06-14,3,3,3,21450,3
2026-06-15,1,5,1,105500,1
2026-06-16,0,0,0,0,0
