date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-03-16,85,130,89,1905475,78
2026-03-17,77,164,111,2496774,66
2026-03-18,52,109,81,1665030,50
2026-03-19,61,143,97,2812230,60
2026-03-20,111,254,145,4447257,109
2026-03-21,88,203,106,4034652,84
2026-03-22,83,121,74,1754232,54
2026-03-23,68,131,91,1575051,60
2026-03-24,67,149,111,1897516,62
2026-03-25,61,125,98,1463062,56
2026-03-26,89,195,124,3550485,87
2026-03-27,75,216,111,3333410,73
2026-03-28,82,204,97,3566547,82
2026-03-29,62,187,94,3152600,62
2026-03-30,63,111,64,1801604,55
2026-03-31,27,72,48,1054742,27
2026-04-01,154,110,78,1520100,53
2026-04-02,36,72,46,1156190,36
2026-04-03,43,121,79,1700080,38
2026-04-04,43,122,59,2024030,42
2026-04-05,48,84,54,1293550,37
2026-04-06,41,106,68,1596870,39
2026-04-07,64,149,95,2006190,64
2026-04-08,47,127,100,1712367,43
2026-04-09,21,66,57,951446,21
2026-04-10,37,105,61,1328336,37
2026-04-11,40,97,55,1814574,40
2026-04-12,43,126,79,1896110,32
2026-04-13,42,115,97,1418320,34
2026-04-14,31,79,68,1009620,29
2026-04-15,33,85,72,1570290,31
2026-04-16,42,121,91,1637793,39
2026-04-17,35,126,90,1880663,35
2026-04-18,91,166,117,2133603,89
2026-04-19,69,130,88,1680542,57
2026-04-20,56,163,114,2179440,56
2026-04-21,64,142,96,1431507,61
2026-04-22,44,66,70,696180,44
2026-04-23,49,164,112,2355030,49
2026-04-24,45,115,88,1639890,45
2026-04-25,60,93,79,1512534,57
2026-04-26,44,126,95,1626730,43
2026-04-27,36,56,59,634460,36
2026-04-28,14,76,51,1245354,13
2026-04-29,21,46,45,586905,20
2026-04-30,27,85,65,1394045,27
2026-05-01,97,70,42,1264970,37
2026-05-02,43,125,67,2476668,38
2026-05-03,60,153,88,3449568,58
2026-05-04,51,126,90,2939518,48
2026-05-05,31,76,62,1659558,31
2026-05-06,17,24,19,331650,16
2026-05-07,12,21,17,213040,12
2026-05-08,22,67,41,1052970,21
2026-05-09,17,109,48,1750750,17
2026-05-10,29,32,20,508594,17
2026-05-11,17,57,33,696141,10
2026-05-12,34,136,74,1565281,33
2026-05-13,15,38,23,470911,12
2026-05-14,8,37,20,332900,8
2026-05-15,33,52,42,709610,33
2026-05-16,70,233,133,1342480,70
2026-05-17,37,141,74,2159760,24
2026-05-18,13,103,54,1102840,13
2026-05-19,15,54,34,493100,15
2026-05-20,7,29,16,170725,7
2026-05-21,15,43,23,420935,14
2026-05-22,7,42,25,711850,7
2026-05-23,44,113,59,2301327,40
2026-05-24,32,36,27,411370,20
2026-05-25,11,81,50,1117030,11
2026-05-26,17,57,39,694840,17
2026-05-27,12,35,24,157930,12
2026-05-28,14,56,37,491560,14
2026-05-29,25,113,58,2143610,21
2026-05-30,16,73,45,981840,16
2026-05-31,14,18,14,236970,14
2026-06-01,16,62,33,682520,13
2026-06-02,20,57,40,556020,20
2026-06-03,6,20,9,40120,6
2026-06-04,19,87,48,1129086,14
2026-06-05,7,42,33,819466,6
2026-06-06,5,25,9,459266,5
2026-06-07,6,7,7,64020,6
2026-06-08,8,81,58,872520,8
2026-06-09,1,2,1,133200,1
2026-06-10,4,13,12,218250,4
2026-06-11,4,57,27,561550,4
2026-06-12,6,11,7,160380,6
2026-06-13,5,14,6,410000,5
2026-06-14,0,0,0,0,0
