date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-02-19,68,148,96,2133451,65
2026-02-20,76,186,116,2427670,72
2026-02-21,61,136,73,3495682,59
2026-02-22,72,172,80,4257910,62
2026-02-23,45,81,42,2063490,28
2026-02-24,46,74,56,768494,37
2026-02-25,46,94,69,1835430,42
2026-02-26,64,92,83,745540,63
2026-02-27,53,150,91,2617680,48
2026-02-28,43,113,58,2967900,42
2026-03-01,37,85,58,1323560,30
2026-03-02,78,169,118,3255130,75
2026-03-03,130,146,120,1915060,68
2026-03-04,77,108,90,1449650,75
2026-03-05,72,109,86,1532600,71
2026-03-06,77,171,120,2572510,77
2026-03-07,99,170,106,3270600,99
2026-03-08,77,146,107,2309350,69
2026-03-09,62,82,66,1251580,58
2026-03-10,42,79,62,1556330,33
2026-03-11,24,72,51,868392,24
2026-03-12,63,67,46,1282320,36
2026-03-13,55,126,79,2737011,50
2026-03-14,47,152,91,3229228,47
2026-03-15,51,128,80,2308076,51
2026-03-16,45,79,45,1121990,42
2026-03-17,38,109,63,1719100,37
2026-03-18,27,49,34,782000,27
2026-03-19,40,86,85,1734260,39
2026-03-20,90,200,130,3626952,89
2026-03-21,72,151,95,3080772,65
2026-03-22,64,80,52,1043530,37
2026-03-23,45,100,67,1281061,42
2026-03-24,39,103,80,1375601,37
2026-03-25,65,111,97,1263322,64
2026-03-26,94,163,106,3277825,80
2026-03-27,93,175,115,2723340,80
2026-03-28,78,171,109,2695065,78
2026-03-29,70,142,101,2020960,70
2026-03-30,73,102,92,1313713,65
2026-03-31,52,91,79,1130230,52
2026-04-01,115,75,63,773530,56
2026-04-02,49,67,57,734540,49
2026-04-03,63,118,80,1289920,58
2026-04-04,61,123,76,1504670,60
2026-04-05,69,117,83,1370440,60
2026-04-06,60,119,82,1406020,58
2026-04-07,54,130,80,1849880,54
2026-04-08,26,102,63,1390396,23
2026-04-09,12,32,22,536476,12
2026-04-10,27,99,53,1087291,27
2026-04-11,32,85,47,1626170,32
2026-04-12,33,108,74,1587400,23
2026-04-13,25,99,59,1279070,19
2026-04-14,14,47,33,576775,11
2026-04-15,27,33,27,185725,18
2026-04-16,13,52,35,665868,11
2026-04-17,26,94,58,1321798,23
2026-04-18,82,172,107,1700203,81
2026-04-19,27,59,30,896572,19
2026-04-20,27,54,39,511630,27
2026-04-21,20,106,63,909817,17
2026-04-22,8,20,15,224290,8
2026-04-23,12,51,32,761800,12
2026-04-24,10,53,31,780410,10
2026-04-25,26,55,27,1220434,25
2026-04-26,9,62,36,1027730,8
2026-04-27,3,8,6,204530,3
2026-04-28,7,13,9,167354,7
2026-04-29,16,15,11,165550,8
2026-04-30,15,55,34,714450,15
2026-05-01,47,38,23,708420,19
2026-05-02,32,84,54,1647748,27
2026-05-03,49,125,78,2592578,48
2026-05-04,37,97,75,2286568,34
2026-05-05,15,45,46,958058,15
2026-05-06,9,13,12,123530,9
2026-05-07,7,8,8,66110,7
2026-05-08,7,41,24,539590,6
2026-05-09,10,94,39,1569800,10
2026-05-10,23,21,12,428734,11
2026-05-11,10,47,26,593500,5
2026-05-12,12,99,49,1486400,11
2026-05-13,3,22,11,298200,3
2026-05-14,5,26,12,158000,5
2026-05-15,15,23,16,450570,15
2026-05-16,66,221,127,1242530,66
2026-05-17,31,88,49,1577560,18
2026-05-18,6,94,45,998800,6
2026-05-19,6,36,21,283800,6
2026-05-20,2,20,9,91500,2
