date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-02-07,46,136,70,3597595,46
2026-02-08,33,58,37,1289210,30
2026-02-09,36,93,63,1641080,29
2026-02-10,32,123,75,2418640,32
2026-02-11,38,71,49,1209810,33
2026-02-12,42,87,65,1353340,41
2026-02-13,38,106,69,1184835,38
2026-02-14,62,159,73,3774565,62
2026-02-15,27,84,37,1754270,27
2026-02-16,39,56,38,949560,34
2026-02-17,29,62,49,1049290,28
2026-02-18,50,108,76,1945506,49
2026-02-19,38,116,63,1883295,36
2026-02-20,47,134,85,2106800,45
2026-02-21,44,103,50,2950297,42
2026-02-22,58,143,72,3592510,48
2026-02-23,29,79,36,2134990,21
2026-02-24,37,64,53,646504,28
2026-02-25,30,82,81,1638750,28
2026-02-26,46,72,67,580730,46
2026-02-27,42,135,88,2467510,39
2026-02-28,34,98,58,2768240,34
2026-03-01,26,50,25,1110810,21
2026-03-02,65,156,112,2828370,62
2026-03-03,101,115,65,1689450,33
2026-03-04,30,57,41,1020590,28
2026-03-05,39,80,67,1187090,39
2026-03-06,36,123,57,2005460,36
2026-03-07,66,139,76,2736620,66
2026-03-08,28,83,45,1435080,26
2026-03-09,35,40,29,805310,22
2026-03-10,37,62,43,1128580,31
2026-03-11,22,50,43,550107,22
2026-03-12,63,70,48,1317190,36
2026-03-13,51,107,58,2318201,46
2026-03-14,41,136,68,2911451,41
2026-03-15,36,94,46,1763246,36
2026-03-16,38,67,37,914310,31
2026-03-17,34,108,79,1518000,33
2026-03-18,22,49,33,790910,22
2026-03-19,35,83,63,1655400,34
2026-03-20,84,203,111,3709482,84
2026-03-21,66,140,72,2845105,59
2026-03-22,59,69,46,800260,32
2026-03-23,43,85,59,1160751,35
2026-03-24,24,69,49,865751,24
2026-03-25,29,66,45,810485,29
2026-03-26,81,134,90,2032210,70
2026-03-27,79,153,81,2244350,66
2026-03-28,47,130,61,2121549,47
2026-03-29,34,81,43,1298350,34
2026-03-30,38,58,37,885134,29
2026-03-31,14,33,24,351620,14
2026-04-01,81,40,28,495700,22
2026-04-02,18,35,25,487540,18
2026-04-03,28,76,44,995840,23
2026-04-04,17,72,32,862570,17
2026-04-05,31,77,43,1038630,22
2026-04-06,22,79,43,1077620,20
2026-04-07,51,97,61,1401630,51
2026-04-08,22,93,58,1297396,19
2026-04-09,9,29,18,551926,9
2026-04-10,21,90,46,989451,21
2026-04-11,25,70,38,1332424,25
2026-04-12,28,100,68,1436650,18
2026-04-13,20,90,52,1145920,14
2026-04-14,12,44,30,545925,9
2026-04-15,25,56,38,527775,16
2026-04-16,10,45,30,591018,8
2026-04-17,23,90,54,1272248,20
2026-04-18,74,179,103,2065003,73
2026-04-19,20,27,16,396182,12
2026-04-20,16,48,35,640700,16
2026-04-21,13,95,59,745587,13
2026-04-22,7,14,11,145420,7
2026-04-23,8,18,12,287210,8
2026-04-24,7,71,40,1049360,7
2026-04-25,20,38,21,608524,20
2026-04-26,5,56,32,961400,5
2026-04-27,2,5,3,180000,2
2026-04-28,6,11,7,162690,6
2026-04-29,5,10,6,222100,5
2026-04-30,10,16,11,204600,10
2026-05-01,39,24,13,556510,11
2026-05-02,24,52,24,1202398,21
2026-05-03,37,79,41,1999468,36
2026-05-04,32,88,47,2050368,30
2026-05-05,14,62,32,1306208,14
2026-05-06,6,6,6,50710,6
2026-05-07,0,0,0,0,0
2026-05-08,0,0,0,0,0
