date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-03-13,66,131,89,1752820,63
2025-03-14,63,166,101,2247760,58
2025-03-15,67,167,83,3376630,64
2025-03-16,52,142,75,2420430,45
2025-03-17,83,147,109,2203293,74
2025-03-18,61,104,81,1410043,52
2025-03-19,34,108,76,1921231,31
2025-03-20,56,196,111,3015173,55
2025-03-21,66,164,100,2713890,64
2025-03-22,63,147,72,2850460,63
2025-03-23,41,108,68,1642870,40
2025-03-24,47,98,77,1184210,43
2025-03-25,62,112,93,1453684,59
2025-03-26,56,137,96,1665120,50
2025-03-27,65,123,101,1205510,61
2025-03-28,46,121,87,1350778,44
2025-03-29,76,186,84,3038077,75
2025-03-30,39,103,61,1536905,38
2025-03-31,33,46,35,425690,32
2025-04-01,30,36,28,456400,27
2025-04-02,27,60,50,803100,27
2025-04-03,27,40,29,564120,27
2025-04-04,58,127,79,921730,58
2025-04-05,44,91,49,1269170,44
2025-04-06,32,55,35,807700,32
2025-04-07,39,58,33,875170,32
2025-04-08,27,50,33,672670,27
2025-04-09,19,42,25,672080,19
2025-04-10,27,36,30,488650,27
2025-04-11,24,49,27,799240,24
2025-04-12,57,173,99,3056250,57
2025-04-13,65,131,92,2040550,61
2025-04-14,22,34,22,589810,20
2025-04-15,21,87,40,1487730,20
2025-04-16,20,44,24,912510,20
2025-04-17,15,24,23,196000,15
2025-04-18,30,86,42,1573905,28
2025-04-19,66,106,73,1604830,67
2025-04-20,28,67,53,991080,27
2025-04-21,26,46,25,683350,24
2025-04-22,21,42,23,779920,18
2025-04-23,18,61,45,862640,18
2025-04-24,22,85,60,1244090,21
2025-04-25,16,54,32,853490,16
2025-04-26,37,68,38,1386390,36
2025-04-27,32,57,36,1213350,32
2025-04-28,28,47,31,872640,27
2025-04-29,26,49,30,876422,25
2025-04-30,20,33,21,556000,20
2025-05-01,22,33,22,769200,22
2025-05-02,28,44,29,754740,28
2025-05-03,60,110,56,2299527,55
2025-05-04,41,107,45,2164696,41
2025-05-05,15,42,18,1273830,15
2025-05-06,5,9,5,62040,5
2025-05-07,4,6,4,113230,4
2025-05-08,14,50,31,726940,9
2025-05-09,26,37,28,396610,26
2025-05-10,27,60,29,757400,25
2025-05-11,7,26,10,168830,7
2025-05-12,8,24,11,97410,7
2025-05-13,10,51,36,560370,10
2025-05-14,13,18,13,189730,13
2025-05-15,21,61,34,937070,21
2025-05-16,25,109,65,1502700,25
2025-05-17,79,257,142,3448500,79
2025-05-18,13,57,34,789250,12
2025-05-19,8,35,17,585190,7
2025-05-20,18,38,27,503470,18
2025-05-21,17,31,20,368100,17
2025-05-22,12,34,16,257310,12
2025-05-23,18,19,18,60390,18
2025-05-24,37,58,36,592557,35
2025-05-25,12,45,35,630606,12
2025-05-26,8,43,31,581036,8
2025-05-27,4,19,7,97530,4
2025-05-28,3,17,6,21450,3
2025-05-29,11,28,14,524000,11
2025-05-30,6,12,6,222250,6
2025-05-31,12,28,34,672500,12
2025-06-01,9,50,31,767180,9
2025-06-02,8,57,28,618660,8
2025-06-03,23,35,47,615430,22
2025-06-04,2,8,27,80850,2
2025-06-05,6,20,28,317800,6
2025-06-06,5,42,31,671950,5
2025-06-07,8,33,10,172400,8
2025-06-08,4,7,4,78060,4
2025-06-09,3,17,6,15910,3
2025-06-10,1,6,1,103200,1
2025-06-11,1,15,4,0,1
