date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-08-27,55,75,54,716650,52
2025-08-28,54,79,63,1039330,54
2025-08-29,44,104,54,1582800,36
2025-08-30,50,114,92,1912900,50
2025-08-31,40,92,85,1438520,39
2025-09-01,66,100,70,1140066,44
2025-09-02,40,93,65,1092346,37
2025-09-03,39,111,74,1108020,35
2025-09-04,40,108,107,1059450,36
2025-09-05,29,69,73,964770,28
2025-09-06,68,170,77,2314230,68
2025-09-07,36,97,79,1535050,36
2025-09-08,39,101,62,1337870,33
2025-09-09,36,92,58,1084760,36
2025-09-10,28,90,52,1176220,26
2025-09-11,44,113,69,1398668,39
2025-09-12,42,107,63,1189953,39
2025-09-13,70,130,110,2281453,65
2025-09-14,35,122,82,1520638,35
2025-09-15,26,60,60,738530,23
2025-09-16,43,81,82,683250,42
2025-09-17,34,90,72,1042900,33
2025-09-18,33,77,76,759490,33
2025-09-19,41,103,62,1290530,40
2025-09-20,53,151,85,1641415,52
2025-09-21,35,66,57,1089610,34
2025-09-22,29,91,53,434960,24
2025-09-23,34,71,65,941991,33
2025-09-24,54,142,96,1335588,53
2025-09-25,58,149,102,1541212,56
2025-09-26,54,103,89,1312100,47
2025-09-27,51,125,96,2210630,51
2025-09-28,23,77,46,1045750,23
2025-09-29,45,152,94,1289511,45
2025-09-30,34,70,46,753260,22
2025-10-01,23,87,52,555040,23
2025-10-02,32,90,62,923470,32
2025-10-03,41,71,48,934280,31
2025-10-04,17,94,46,1642900,17
2025-10-05,29,42,29,436960,26
2025-10-06,21,50,46,977470,21
2025-10-07,27,78,54,1207170,25
2025-10-08,24,66,45,736780,24
2025-10-09,18,38,41,423810,16
2025-10-10,26,78,48,325250,26
2025-10-11,55,149,73,2276968,50
2025-10-12,36,136,71,2702581,36
2025-10-13,11,62,32,895453,11
2025-10-14,8,19,27,266820,8
2025-10-15,11,50,44,934260,11
2025-10-16,24,114,58,1535650,21
2025-10-17,64,130,80,1320120,52
2025-10-18,51,94,63,1367660,51
2025-10-19,18,115,52,1817514,18
2025-10-20,13,51,25,754170,13
2025-10-21,14,66,27,1193850,13
2025-10-22,13,120,65,1892440,13
2025-10-23,11,89,50,1157400,11
2025-10-24,43,95,56,1143270,42
2025-10-25,36,82,40,1132940,36
2025-10-26,17,37,34,583750,17
2025-10-27,4,8,4,164760,4
2025-10-28,9,12,7,209720,7
2025-10-29,6,15,8,176700,6
2025-10-30,9,18,10,468160,9
2025-10-31,31,46,30,612160,30
2025-11-01,28,60,29,921270,26
2025-11-02,22,48,21,1018690,18
2025-11-03,7,20,10,587700,7
2025-11-04,0,3,1,36400,0
2025-11-05,30,35,25,75133,25
2025-11-06,29,40,30,80633,29
2025-11-07,18,24,19,296413,18
2025-11-08,23,63,26,1085223,23
2025-11-09,9,18,11,462993,9
2025-11-10,30,44,31,420533,30
2025-11-11,38,49,38,330800,38
2025-11-12,32,40,31,552000,31
2025-11-13,8,11,7,156690,6
2025-11-14,31,58,35,567490,31
2025-11-15,48,87,53,431650,48
2025-11-16,15,35,18,580600,15
2025-11-17,9,13,7,268950,7
2025-11-18,7,16,9,422690,7
2025-11-19,26,46,27,338800,26
2025-11-20,30,42,30,378650,30
2025-11-21,32,43,30,680286,30
2025-11-22,24,67,28,1902232,24
2025-11-23,24,60,30,2018926,24
2025-11-24,5,11,5,311050,4
2025-11-25,3,16,7,172450,3
