date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-01-10,45,76,56,1001440,41
2025-01-11,49,123,68,2697570,49
2025-01-12,30,94,40,1688810,30
2025-01-13,36,59,36,1237780,30
2025-01-14,41,79,54,984650,37
2025-01-15,38,126,85,1848750,35
2025-01-16,56,57,49,598610,41
2025-01-17,48,144,111,1783110,46
2025-01-18,52,141,108,2358080,51
2025-01-19,69,120,72,2028550,48
2025-01-20,39,83,57,1105730,35
2025-01-21,42,103,75,1371128,40
2025-01-22,28,43,38,518630,28
2025-01-23,36,62,50,582070,33
2025-01-24,53,135,110,2176338,52
2025-01-25,46,120,84,2065170,44
2025-01-26,44,109,84,1748520,38
2025-01-27,31,79,73,1052310,28
2025-01-28,27,64,47,744970,23
2025-01-29,33,99,67,1151660,33
2025-01-30,34,98,88,1331470,32
2025-01-31,33,85,60,1420880,32
2025-02-01,45,89,47,1873150,31
2025-02-02,29,44,30,945635,29
2025-02-03,21,55,43,832420,19
2025-02-04,25,85,42,1110100,24
2025-02-05,27,44,30,649140,27
2025-02-06,23,28,25,339730,22
2025-02-07,23,78,46,1284200,23
2025-02-08,32,71,35,1485220,32
2025-02-09,42,95,50,2036090,42
2025-02-10,28,80,56,1516405,26
2025-02-11,23,39,27,735030,23
2025-02-12,21,61,39,1150834,20
2025-02-13,21,48,45,635254,20
2025-02-14,20,38,23,496700,20
2025-02-15,30,86,35,1595930,30
2025-02-16,39,91,58,1487900,25
2025-02-17,17,59,36,891330,17
2025-02-18,28,62,33,910870,27
2025-02-19,26,33,27,266770,25
2025-02-20,26,104,60,1544400,24
2025-02-21,33,81,39,656660,31
2025-02-22,29,126,58,2641350,28
2025-02-23,27,74,33,1702890,27
2025-02-24,24,65,32,901890,19
2025-02-25,13,101,66,1582740,13
2025-02-26,16,32,40,339730,15
2025-02-27,25,36,56,226320,23
2025-02-28,19,61,44,882860,17
2025-03-01,42,52,34,1057370,27
2025-03-02,51,153,112,1697050,51
2025-03-03,10,13,12,103660,9
2025-03-04,17,24,34,247840,17
2025-03-05,15,22,35,154480,15
2025-03-06,19,49,41,723710,18
2025-03-07,25,82,55,1203960,25
2025-03-08,18,47,24,969090,18
2025-03-09,19,82,48,1242700,19
2025-03-10,21,45,42,699780,18
2025-03-11,9,16,31,249990,9
2025-03-12,16,32,18,385184,15
2025-03-13,17,27,18,556270,16
2025-03-14,25,64,49,788460,25
2025-03-15,25,55,27,1159320,25
2025-03-16,37,48,24,1046400,22
2025-03-17,16,34,39,489930,16
2025-03-18,8,16,15,129410,8
2025-03-19,10,18,11,432508,10
2025-03-20,29,84,44,1335051,28
2025-03-21,29,52,32,757280,29
2025-03-22,28,58,31,1079450,28
2025-03-23,16,30,17,360460,16
2025-03-24,9,19,10,354650,9
2025-03-25,14,24,15,255730,13
2025-03-26,14,83,39,1115230,14
2025-03-27,41,50,41,235970,40
2025-03-28,16,40,20,281450,16
2025-03-29,20,49,25,577240,20
2025-03-30,38,61,39,514460,38
2025-03-31,10,15,11,458700,9
2025-04-01,20,28,11,334600,6
2025-04-02,8,42,26,217300,7
2025-04-03,3,7,5,92600,3
2025-04-04,16,36,19,29260,16
2025-04-05,6,20,8,405550,6
2025-04-06,0,1,1,8000,0
2025-04-07,6,13,6,244260,6
2025-04-08,4,7,4,96650,4
2025-04-09,3,7,3,112750,3
2025-04-10,0,0,0,0,0
