date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-05-21,60,134,95,1638460,60
2024-05-22,44,115,83,1326440,44
2024-05-23,49,214,96,2237750,49
2024-05-24,45,151,104,2256940,44
2024-05-25,59,116,63,2029077,59
2024-05-26,45,122,74,1617090,42
2024-05-27,54,102,76,1271980,49
2024-05-28,37,82,63,1138260,36
2024-05-29,34,85,67,1070650,28
2024-05-30,31,93,71,1162690,30
2024-05-31,31,71,54,1122840,31
2024-06-01,38,79,40,1385120,37
2024-06-02,25,110,62,1594270,24
2024-06-03,44,75,71,928450,29
2024-06-04,47,91,74,1493890,46
2024-06-05,28,78,88,713290,28
2024-06-06,42,97,67,846870,37
2024-06-07,32,58,43,758940,32
2024-06-08,36,85,59,1311850,36
2024-06-09,20,54,24,531560,22
2024-06-10,32,93,63,1267554,30
2024-06-11,20,54,43,604784,19
2024-06-12,24,58,48,534460,24
2024-06-13,19,97,82,1267740,18
2024-06-14,26,72,67,1148610,26
2024-06-15,37,74,37,1047810,36
2024-06-16,25,74,48,1057780,25
2024-06-17,33,45,49,386540,28
2024-06-18,24,57,48,586058,24
2024-06-19,19,38,43,276520,19
2024-06-20,24,74,80,942500,22
2024-06-21,33,74,76,792200,33
2024-06-22,32,129,96,2167340,32
2024-06-23,19,46,55,686750,18
2024-06-24,32,33,29,338280,28
2024-06-25,26,51,69,679010,25
2024-06-26,19,43,43,391080,19
2024-06-27,32,83,72,1013360,31
2024-06-28,35,51,56,565484,35
2024-06-29,38,100,45,758850,38
2024-06-30,13,30,51,567010,13
2024-07-01,17,65,33,968080,16
2024-07-02,21,59,39,742030,20
2024-07-03,12,54,30,545080,12
2024-07-04,33,129,79,1412800,33
2024-07-05,16,31,19,495310,15
2024-07-06,17,71,25,1253470,17
2024-07-07,9,34,30,326934,10
2024-07-08,19,26,20,202150,17
2024-07-09,14,57,32,823230,14
2024-07-10,23,17,16,88550,16
2024-07-11,15,45,24,537760,14
2024-07-12,14,25,19,261595,14
2024-07-13,42,114,43,1688592,40
2024-07-14,23,105,53,1358512,23
2024-07-15,17,17,12,151074,13
2024-07-16,13,20,16,154714,13
2024-07-17,13,68,63,732390,12
2024-07-18,15,57,61,896440,15
2024-07-19,18,92,58,1281850,18
2024-07-20,28,66,27,1087320,27
2024-07-21,11,35,12,475490,10
2024-07-22,19,72,39,862034,19
2024-07-23,13,52,31,569270,13
2024-07-24,12,35,34,333540,12
2024-07-25,20,33,19,465690,19
2024-07-26,30,80,32,1043470,30
2024-07-27,28,76,32,1121887,28
2024-07-28,17,82,46,946474,17
2024-07-29,19,33,17,410734,17
2024-07-30,14,70,34,952150,14
2024-07-31,13,26,12,208200,12
2024-08-01,41,120,44,1518484,40
2024-08-02,27,61,28,892750,27
2024-08-03,45,126,53,1369190,44
2024-08-04,17,46,19,507490,16
2024-08-05,13,28,14,271000,13
2024-08-06,20,78,38,950847,19
2024-08-07,16,35,17,273460,16
2024-08-08,20,36,20,532700,20
2024-08-09,50,92,55,1329634,48
2024-08-10,42,107,54,1237050,41
2024-08-11,49,122,54,1523130,48
2024-08-12,29,51,30,538560,28
2024-08-13,18,44,19,358477,18
2024-08-14,14,36,16,130260,14
2024-08-15,12,23,12,160774,12
2024-08-16,19,29,19,196360,19
2024-08-17,14,24,14,189690,14
2024-08-18,0,0,0,0,0
