date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-03-28,67,119,71,1785289,63
2024-03-29,71,202,112,3192460,68
2024-03-30,76,234,114,3980265,75
2024-03-31,47,151,85,2399740,47
2024-04-01,70,85,53,1156840,40
2024-04-02,34,97,57,1420760,34
2024-04-03,25,84,57,1039240,25
2024-04-04,44,73,53,1000700,38
2024-04-05,46,88,59,1268410,46
2024-04-06,47,172,97,3167620,47
2024-04-07,49,131,87,2186510,44
2024-04-08,27,67,39,1044640,24
2024-04-09,29,85,72,1294720,29
2024-04-10,44,116,83,1445930,40
2024-04-11,44,139,103,2018820,43
2024-04-12,26,119,69,1829950,26
2024-04-13,69,184,106,2320440,67
2024-04-14,77,149,132,1515410,69
2024-04-15,37,71,81,1149720,33
2024-04-16,37,55,53,509750,28
2024-04-17,21,84,68,1141240,21
2024-04-18,37,96,100,1502980,36
2024-04-19,34,158,92,2032070,34
2024-04-20,76,151,83,2505050,78
2024-04-21,34,59,48,1052120,29
2024-04-22,33,50,32,758320,31
2024-04-23,23,46,27,572060,23
2024-04-24,23,47,26,824700,22
2024-04-25,30,50,37,877060,26
2024-04-26,30,74,34,1448090,30
2024-04-27,38,80,40,1654140,38
2024-04-28,68,131,80,1788160,66
2024-04-29,33,53,31,1061640,29
2024-04-30,12,26,15,328240,12
2024-05-01,21,41,19,570740,18
2024-05-02,13,48,25,839820,13
2024-05-03,29,83,28,1989375,26
2024-05-04,25,69,27,1702270,23
2024-05-05,43,86,45,1327470,43
2024-05-06,5,9,5,99110,5
2024-05-07,9,9,6,52910,6
2024-05-08,8,21,10,231440,7
2024-05-09,12,40,32,460100,12
2024-05-10,48,176,99,2234503,45
2024-05-11,31,85,42,1353443,30
2024-05-12,7,14,9,217403,7
2024-05-13,19,23,13,238970,13
2024-05-14,23,67,43,958860,23
2024-05-15,32,39,33,374230,31
2024-05-16,19,37,25,379690,18
2024-05-17,28,37,30,368530,28
2024-05-18,68,207,129,2650470,68
2024-05-19,15,48,39,667200,15
2024-05-20,10,12,8,156600,8
2024-05-21,9,21,17,242550,9
2024-05-22,9,19,10,187770,9
2024-05-23,12,113,45,1358830,12
2024-05-24,9,49,29,816760,9
2024-05-25,31,91,39,1495827,31
2024-05-26,12,50,24,529260,12
2024-05-27,15,15,15,186100,15
2024-05-28,3,4,3,55110,3
2024-05-29,7,5,3,74870,3
2024-05-30,5,21,19,294320,4
2024-05-31,6,14,8,345570,6
2024-06-01,14,38,17,744760,14
2024-06-02,8,58,26,845380,8
2024-06-03,1,2,1,71600,1
2024-06-04,13,13,13,152900,13
2024-06-05,1,15,15,19800,1
2024-06-06,8,9,8,109350,5
2024-06-07,6,19,14,265880,6
2024-06-08,14,31,14,660580,14
2024-06-09,6,10,8,177280,6
2024-06-10,6,48,17,683700,6
2024-06-11,1,1,1,7480,1
2024-06-12,0,0,0,0,0
2024-06-13,4,45,23,658350,3
2024-06-14,3,9,5,105150,3
2024-06-15,5,13,5,386400,5
2024-06-16,3,4,3,88000,3
2024-06-17,1,1,1,7810,1
2024-06-18,2,6,2,103398,2
2024-06-19,1,1,1,0,1
2024-06-20,0,0,0,0,0
2024-06-21,4,8,4,157400,4
2024-06-22,6,11,6,340200,6
2024-06-23,4,4,4,83200,4
2024-06-24,4,4,4,48400,4
2024-06-25,0,0,0,0,0
